n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo,doublet_score
4140,13941.0,1.004232,0.18650025,0.016537293283833954
1656,3160.0,0.06329114,0.12658228,0.087378640776699
3006,7518.0,0.01330141,0.2527268,0.034967194133539166
2034,4107.0,0.0,0.14609204,0.059703064125513315
1808,3461.0,0.057786766,0.14446692,0.05310513447432763
2930,7921.0,0.12624669,0.26511803,0.05466494075475456
1639,2839.0,0.03522367,0.4931314,0.026598984771573603
2664,6035.0,0.049710024,0.24855013,0.1802325581395348
3918,13242.0,0.0,0.22655188,0.12464183381088827
3158,6802.0,0.073507786,0.2499265,0.0970888133589478
2887,7941.0,0.012592873,0.16370735,0.049438202247191004
1260,1931.0,0.05178664,0.46607974,0.013672496025437202
3231,7523.0,0.01329257,0.21268111,0.010526315789473686
4118,17061.0,0.005861321,0.19928491,0.008654528257271222
2271,5309.0,0.0,0.26370314,0.031783402001177165
2781,7208.0,0.0,0.24972253,0.026968128575320074
4755,18454.0,1.1162891,0.20591742,0.08167252833137946
3339,10467.0,0.009553836,0.1624152,0.04237650886054276
2660,6726.0,0.029735355,0.22301516,0.03449333128928407
2852,7348.0,0.013609145,0.23135547,0.026234360285214583
2176,4824.0,0.103648424,0.393864,0.007606841547185468
1659,3029.0,0.06602839,0.33014196,0.1482701812191103
2796,6737.0,0.059373606,0.29686803,0.019490969780056027
3260,8087.0,0.012365525,0.259676,0.0588235294117647
1766,2935.0,0.03407155,0.44293016,0.10255620572836464
3059,8594.0,0.06981615,0.11636025,0.038480272771553824
2287,4936.0,0.0,0.44570506,0.0241370360757851
2551,5905.0,0.0169348,0.18628281,0.02481943532501642
3602,10522.0,0.10454287,0.18057404,0.008124007843869643
2831,7686.0,0.26021338,0.20817068,0.05234587049243893
2492,6052.0,0.016523464,0.3965631,0.006449301325689717
2269,5286.0,0.03783579,0.15134317,0.005817028027498678
2118,4698.0,0.10642827,0.14899957,0.0417940876656473
2494,5907.0,0.03385813,0.23700695,0.04805744798379671
1997,4148.0,0.072324015,0.4821601,0.0041784493310260415
3896,11780.0,0.0,0.1443124,0.006130608618391826
4946,16378.0,0.1648553,0.21370131,0.15906611389919265
1853,3513.0,0.0,0.284657,0.04296807592752373
2247,4815.0,0.14537902,0.16614746,0.0049057578104828295
5601,25226.0,0.007928328,0.19424403,0.029686053961700008
3124,9401.0,0.021274332,0.18083183,0.009757755230836449
4213,13797.0,0.0072479523,0.14495906,0.03311059388843006
2906,6485.0,0.0,0.2621434,0.08889504292439766
4344,11851.0,0.016876213,0.23626699,0.08032955715756951
2623,7279.0,0.013738151,0.109905206,0.034967194133539166
2519,5208.0,0.09600615,0.26881722,0.044799858619775555
3213,7215.0,0.027720029,0.20790021,0.03744000000000001
