n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo
2178,4226.0,0.047326077,0.3076195
3104,7320.0,0.0,0.17759563
3378,10404.0,0.0,0.17301038
3399,10387.0,0.038509674,0.21180321
4022,15985.0,0.03753519,0.20018767
6097,29190.0,0.010277492,0.21582735
3782,11196.0,0.0,0.19649875
2452,5627.0,0.07108584,0.12440021
1155,1828.0,0.0,0.54704595
3786,11544.0,0.12993762,0.20790021
5260,16465.0,0.0060734893,0.20649864
5035,21560.0,0.0,0.19480519
4976,18836.0,0.042471863,0.11679762
2428,5883.0,0.40795514,0.37395886
3112,7097.0,0.028180921,0.366352
3519,9899.0,0.10102031,0.27275482
2706,7137.0,0.028022978,0.1401149
2370,5936.0,0.0,0.33692724
1882,3616.0,0.027654868,0.24889381
1590,2846.0,0.035137035,0.3865074
1288,2133.0,0.5625879,0.09376465
2488,5734.0,0.034879666,0.22671781
3093,7521.0,0.013296104,0.25262597
2386,5520.0,0.018115943,0.2173913
4852,17815.0,0.1178782,0.23014314
2010,4249.0,0.35302424,0.25888443
1626,2918.0,0.0685401,0.5483208
3335,8804.0,0.03407542,0.20445253
4006,14140.0,0.021216407,0.20509195
2790,6229.0,0.09632365,0.20870124
3813,10820.0,0.30499074,0.19408503
4621,15881.0,0.018890498,0.22668599
3505,8550.0,0.046783626,0.33918127
4429,12899.0,0.038762696,0.19381347
2449,7502.0,0.013329779,0.119968005
4788,14798.0,0.17569941,0.22976077
1183,1667.0,0.059988,0.719856
4341,13779.0,0.0072574206,0.21046521
2123,4326.0,0.0,0.1618123
3696,10847.0,0.018438278,0.17516364
3408,9556.0,0.0,0.14650482
2922,7257.0,0.88190717,0.24803637
3238,8515.0,0.023487963,0.12918378
5808,24343.0,0.0041079572,0.18485807
3201,7730.0,0.103492886,0.19404916
4417,12889.0,0.031034214,0.21723951
2417,4814.0,0.020772746,0.3115912
6094,26212.0,1.0109874,0.19075233
1555,2761.0,0.10865629,0.3984064
4887,16472.0,0.10320544,0.19426906
2959,7553.0,0.0,0.2383159
3248,7806.0,0.0,0.28183448
